M,lambda,trial,S_approx,S_ref,abs_err,rel_err,N_terms
64,2.0,0,0.35282307932529694,0.35282307932533274,3.58046925441613e-14,1.0148058514943786e-13,4096
64,2.0,1,0.35282307932594675,0.35282307932533274,6.140088437689428e-13,1.740274034632453e-12,4096
64,2.0,2,0.35282307932570106,0.35282307932533274,3.683164884193957e-13,1.0439126859946049e-12,4096
64,2.0,3,0.35282307932582374,0.35282307932533274,4.909961326404755e-13,1.3916213575919037e-12,4096
64,2.0,4,0.3528230793249337,0.35282307932533274,3.990696662015125e-13,1.1310758552547423e-12,4096
64,3.0,0,0.35130648124858804,0.35130648124837793,2.1010970741031088e-13,5.980809311108632e-13,4096
64,3.0,1,0.3513064812486639,0.35130648124837793,2.859934511434403e-13,8.140853255173493e-13,4096
64,3.0,2,0.3513064812483063,0.35130648124837793,7.16093850883226e-14,2.0383735829141706e-13,4096
64,3.0,3,0.3513064812484476,0.35130648124837793,6.966649479522857e-14,1.9830688733002202e-13,4096
64,3.0,4,0.3513064812479217,0.35130648124837793,4.562461519697081e-13,1.2987125951915944e-12,4096
64,4.0,0,0.3492092628709146,0.34920926287076554,1.4904744105592727e-13,4.268141109163143e-13,4096
64,4.0,1,0.34920926287063325,0.34920926287076554,1.322830733840874e-13,3.7880745858978656e-13,4096
64,4.0,2,0.34920926287083814,0.34920926287076554,7.260858581048524e-14,2.0792285179833858e-13,4096
64,4.0,3,0.3492092628708633,0.34920926287076554,9.775513731824503e-14,2.7993283028813013e-13,4096
64,4.0,4,0.3492092628709767,0.34920926287076554,2.1116441928370477e-13,6.046930644043424e-13,4096
64,6.0,0,0.3442049556421987,0.3442049556424249,2.2620794126737565e-13,6.571896701637564e-13,4096
64,6.0,1,0.3442049556426253,0.3442049556424249,2.0039525594484076e-13,5.821974746726774e-13,4096
64,6.0,2,0.3442049556423527,0.3442049556424249,7.222000775186643e-14,2.0981687383633058e-13,4096
64,6.0,3,0.3442049556423758,0.3442049556424249,4.912736883966318e-14,1.4272708174108575e-13,4096
64,6.0,4,0.3442049556425987,0.3442049556424249,1.73749903353837e-13,5.047861761012412e-13,4096
64,8.0,0,0.33893498587801335,0.3389349858779713,4.207745263329343e-14,1.2414608814813475e-13,4096
64,8.0,1,0.3389349858781449,0.3389349858779713,1.7363888105137448e-13,5.123073400097171e-13,4096
64,8.0,2,0.3389349858781602,0.3389349858779713,1.8890444763997039e-13,5.573471477151749e-13,4096
64,8.0,3,0.33893498587837667,0.3389349858779713,4.053979374418759e-13,1.196093511538032e-12,4096
64,8.0,4,0.33893498587812176,0.3389349858779713,1.5049073098793997e-13,4.4401061341635006e-13,4096
128,2.0,0,0.3533616638297294,0.35336166383155454,1.825151141332526e-12,5.165107956370064e-12,16384
128,2.0,1,0.3533616638325188,0.35336166383155454,9.642842080381797e-13,2.7288874451809474e-12,16384
