M,method,trial,abs_err,threshold
16,sequential,0,1.5849103036968752e-15,5.632e-13
16,kahan,0,5.520517053904124e-15,5.632e-13
16,sequential,1,2.8921998219193274e-14,5.632e-13
16,kahan,1,3.069835505859353e-14,5.632e-13
16,sequential,2,2.891070291260184e-14,5.632e-13
16,kahan,2,3.601613027020284e-14,5.632e-13
16,sequential,3,1.6677777247173687e-14,5.632e-13
16,kahan,3,1.490142040777344e-14,5.632e-13
16,sequential,4,1.7856645828373153e-14,5.632e-13
16,kahan,4,1.6080288988972906e-14,5.632e-13
32,sequential,0,4.399220983832498e-15,2.2528e-12
32,kahan,0,8.465073050319971e-16,2.2528e-12
32,sequential,1,9.792885970155763e-14,2.2528e-12
32,kahan,1,1.0858700073795914e-13,2.2528e-12
32,sequential,2,3.522372910561062e-14,2.2528e-12
32,kahan,2,1.0354733354007088e-14,2.2528e-12
32,sequential,3,1.3990158153478249e-14,2.2528e-12
32,kahan,3,3.3320171170766706e-15,2.2528e-12
32,sequential,4,1.118764440851674e-14,2.2528e-12
32,kahan,4,6.575923985485727e-15,2.2528e-12
64,sequential,0,3.2883834619195207e-13,9.0112e-12
64,kahan,0,3.0752206411914906e-13,9.0112e-12
64,sequential,1,5.592584424608094e-14,9.0112e-12
64,kahan,1,8.023001972328377e-15,9.0112e-12
64,sequential,2,3.432780939478118e-13,9.0112e-12
64,kahan,2,4.2143779488142324e-13,9.0112e-12
64,sequential,3,4.921032941588964e-13,9.0112e-12
64,kahan,3,4.778924394436944e-13,9.0112e-12
64,sequential,4,1.9515513713259425e-14,9.0112e-12
64,kahan,4,1.951551371325902e-14,9.0112e-12
128,sequential,0,2.1732857202172068e-13,3.60448e-11
128,kahan,0,5.01545666325762e-13,3.60448e-11
128,sequential,1,9.496867408715253e-13,3.60448e-11
128,kahan,1,6.654696465674852e-13,3.60448e-11
128,sequential,2,5.419597964386893e-13,3.60448e-11
128,kahan,2,4.282729587170731e-13,3.60448e-11
128,sequential,3,1.1147278227174512e-12,3.60448e-11
128,kahan,3,1.2142038057238649e-12,3.60448e-11
128,sequential,4,3.130975602537948e-12,3.60448e-11
128,kahan,4,3.0883430383923424e-12,3.60448e-11
