M,theta_idx,theta_val,mu_kernel,method,trial,S_approx,S_ref,abs_err,rel_err,N_terms
64,0,0.7853981633974483,clean,sequential,0,8.642790758379916e-13,8.133718728538702e-13,5.090720298412154e-14,0.0625878576370042,4096
64,0,0.7853981633974483,clean,kahan,0,9.069116399835976e-13,8.133718728538702e-13,9.353976712972757e-14,0.1150024610533008,4096
64,0,0.7853981633974483,clean,sequential,1,5.954320191269008e-13,8.133718728538702e-13,2.179398537269693e-13,0.2679461400137747,4096
64,0,0.7853981633974483,clean,kahan,1,6.309591559149058e-13,8.133718728538702e-13,1.824127169389643e-13,0.2242673038335276,4096
64,0,0.7853981633974483,clean,sequential,2,9.063414324803392e-13,8.133718728538702e-13,9.296955962646929e-14,0.1143014194728272,4096
64,0,0.7853981633974483,clean,kahan,2,9.987119881291525e-13,8.133718728538702e-13,1.853401152752822e-13,0.2278663935414696,4096
64,0,0.7853981633974483,clean,sequential,3,8.938013935843979e-13,8.133718728538702e-13,8.04295207305277e-14,0.0988840694088983,4096
64,0,0.7853981633974483,clean,kahan,3,9.009068209419993e-13,8.133718728538702e-13,8.7534948088129e-14,0.107619836644948,4096
64,0,0.7853981633974483,clean,sequential,4,1.1312568822360536e-12,8.133718728538702e-13,3.178850093821835e-13,0.3908237056032236,4096
64,0,0.7853981633974483,clean,kahan,4,1.1312568822360534e-12,8.133718728538702e-13,3.178850093821833e-13,0.3908237056032233,4096
64,0,0.7853981633974483,clean,sequential,5,9.5164260962628e-13,8.133718728538702e-13,1.3827073677240986e-13,0.1699969489813566,4096
64,0,0.7853981633974483,clean,kahan,5,9.44537182268679e-13,8.133718728538702e-13,1.3116530941480885e-13,0.1612611817453071,4096
64,0,0.7853981633974483,clean,sequential,6,8.217092860634659e-13,8.133718728538702e-13,8.337413209595822e-15,0.0102504321674444,4096
64,0,0.7853981633974483,clean,kahan,6,8.074984313482638e-13,8.133718728538702e-13,5.873441505606283e-15,0.0072211023046545,4096
64,0,0.7853981633974483,clean,sequential,7,1.3894329514988225e-12,8.133718728538702e-13,5.760610786449524e-13,0.7082382583795679,4096
64,0,0.7853981633974483,clean,kahan,7,1.4249600882868278e-12,8.133718728538702e-13,6.115882154329575e-13,0.7519170945598153,4096
64,0,0.7853981633974483,clean,sequential,8,6.672625809227169e-13,8.133718728538702e-13,1.4610929193115322e-13,0.1796340601482824,4096
64,0,0.7853981633974483,clean,kahan,8,7.17000572425924e-13,8.133718728538702e-13,9.637130042794609e-14,0.1184836894959362,4096
64,0,0.7853981633974483,clean,sequential,9,1.1128731172293608e-12,8.133718728538702e-13,2.995012443754907e-13,0.3682217868250516,4096
64,0,0.7853981633974483,clean,kahan,9,1.0560296983685528e-12,8.133718728538702e-13,2.426578255146827e-13,0.2983356489366561,4096
64,0,0.7853981633974483,jackson,sequential,0,0.3498630088008454,0.3498630088007106,1.3483658634072526e-13,3.8539823573497893e-13,4096
64,0,0.7853981633974483,jackson,kahan,0,0.349863008800828,0.3498630088007106,1.174060848541103e-13,3.355773028322274e-13,4096
64,0,0.7853981633974483,jackson,sequential,1,0.3498630088005525,0.3498630088007106,1.5809575870662232e-13,4.5187903473578427e-13,4096
64,0,0.7853981633974483,jackson,kahan,1,0.3498630088005443,0.3498630088007106,1.6625589793761722e-13,4.752028472730596e-13,4096
64,0,0.7853981633974483,jackson,sequential,2,0.3498630088009239,0.3498630088007106,2.1332935418172385e-13,6.097510991887707e-13,4096
64,0,0.7853981633974483,jackson,kahan,2,0.349863008800923,0.3498630088007106,2.124411757620237e-13,6.072124529262101e-13,4096
64,0,0.7853981633974483,jackson,sequential,3,0.3498630088006295,0.3498630088007106,8.104628079763644e-14,2.316514714586535e-13,4096
64,0,0.7853981633974483,jackson,kahan,3,0.3498630088006361,0.3498630088007106,7.4495964952348e-14,2.1292895527226914e-13,4096
64,0,0.7853981633974483,jackson,sequential,4,0.349863008800979,0.3498630088007106,2.683964162031316e-13,7.67147167467527e-13,4096
64,0,0.7853981633974483,jackson,kahan,4,0.3498630088009827,0.3498630088007106,2.721711744868572e-13,7.779364140834094e-13,4096
64,0,0.7853981633974483,jackson,sequential,5,0.3498630088008837,0.3498630088007106,1.7313928069029316e-13,4.948773558079043e-13,4096
64,0,0.7853981633974483,jackson,kahan,5,0.3498630088008839,0.3498630088007106,1.7336132529521822e-13,4.955120173735443e-13,4096
64,0,0.7853981633974483,jackson,sequential,6,0.3498630088006839,0.3498630088007106,2.664535259100376e-14,7.615938787681757e-14,4096
64,0,0.7853981633974483,jackson,kahan,6,0.3498630088006809,0.3498630088007106,2.9698465908722944e-14,8.48859844043696e-14,4096
64,0,0.7853981633974483,jackson,sequential,7,0.3498630088012334,0.3498630088007106,5.228595334472175e-13,1.4944693216911348e-12,4096
64,0,0.7853981633974483,jackson,kahan,7,0.3498630088012195,0.3498630088007106,5.08981745639403e-13,1.4548029738386256e-12,4096
64,0,0.7853981633974483,jackson,sequential,8,0.3498630088006124,0.3498630088007106,9.819922652809511e-14,2.8067907740435483e-13,4096
64,0,0.7853981633974483,jackson,kahan,8,0.349863008800608,0.3498630088007106,1.0252909632413321e-13,2.930549779343376e-13,4096
64,0,0.7853981633974483,jackson,sequential,9,0.3498630088009,0.3498630088007106,1.894040480010517e-13,5.413663154910449e-13,4096
64,0,0.7853981633974483,jackson,kahan,9,0.3498630088008954,0.3498630088007106,1.8485213360008856e-13,5.283557533954219e-13,4096
64,0,0.7853981633974483,lorentz,sequential,0,0.3492092628708692,0.3492092628707495,1.1973755320582313e-13,3.4288195055736773e-13,4096
64,0,0.7853981633974483,lorentz,kahan,0,0.3492092628708646,0.3492092628707495,1.1513012765362873e-13,3.296880692888181e-13,4096
64,0,0.7853981633974483,lorentz,sequential,1,0.3492092628705855,0.3492092628707495,1.6397994073713565e-13,4.695750032204284e-13,4096
64,0,0.7853981633974483,lorentz,kahan,1,0.3492092628705905,0.3492092628707495,1.5898393712632244e-13,4.552683849774228e-13,4096
64,0,0.7853981633974483,lorentz,sequential,2,0.349209262870973,0.3492092628707495,2.235434060082753e-13,6.401416851620396e-13,4096
64,0,0.7853981633974483,lorentz,kahan,2,0.34920926287097,0.3492092628707495,2.2049029269055611e-13,6.313987517913139e-13,4096
64,0,0.7853981633974483,lorentz,sequential,3,0.3492092628706661,0.3492092628707495,8.337774914934927e-14,2.3876156223327134e-13,4096
64,0,0.7853981633974483,lorentz,kahan,3,0.3492092628706688,0.3492092628707495,8.065770273901762e-14,2.3097240341207943e-13,4096
64,0,0.7853981633974483,lorentz,sequential,4,0.3492092628710064,0.3492092628707495,2.569056078982612e-13,7.356781025403326e-13,4096
64,0,0.7853981633974483,lorentz,kahan,4,0.3492092628710077,0.3492092628707495,2.582378755278114e-13,7.394932007384676e-13,4096
64,0,0.7853981633974483,lorentz,sequential,5,0.3492092628709188,0.3492092628707495,1.6930901125533637e-13,4.848353960129677e-13,4096
64,0,0.7853981633974483,lorentz,kahan,5,0.349209262870923,0.3492092628707495,1.7352785874891197e-13,4.969165403070613e-13,4096
64,0,0.7853981633974483,lorentz,sequential,6,0.3492092628707182,0.3492092628707495,3.1308289294429414e-14,8.965480765616847e-14,4096
64,0,0.7853981633974483,lorentz,kahan,6,0.3492092628707141,0.3492092628707495,3.536060333431124e-14,1.0125906467549525e-13,4096
64,0,0.7853981633974483,lorentz,sequential,7,0.3492092628712488,0.3492092628707495,4.993783164763954e-13,1.4300259746008712e-12,4096
64,0,0.7853981633974483,lorentz,kahan,7,0.3492092628712539,0.3492092628707495,5.044298312384399e-13,1.4444915552687993e-12,4096
64,0,0.7853981633974483,lorentz,sequential,8,0.3492092628706378,0.3492092628707495,1.1163292512605949e-13,3.1967343651871414e-13,4096
64,0,0.7853981633974483,lorentz,kahan,8,0.3492092628706394,0.3492092628707495,1.1002310174035301e-13,3.1506352619596785e-13,4096
64,0,0.7853981633974483,lorentz,sequential,9,0.3492092628709363,0.3492092628707495,1.8685053504441385e-13,5.350675222884096e-13,4096
64,0,0.7853981633974483,lorentz,kahan,9,0.3492092628709359,0.3492092628707495,1.8640644583456378e-13,5.337958228890315e-13,4096
128,0,0.7853981633974483,clean,sequential,0,-4.248738303090955e-13,7.196322469544455e-13,1.144506077263541e-12,1.5904041016883324,16384
128,0,0.7853981633974483,clean,kahan,0,-2.543435737266716e-13,7.196322469544455e-13,9.73975820681117e-13,1.3534354870881322,16384
128,0,0.7853981633974483,clean,sequential,1,-5.050527687743404e-13,7.196322469544455e-13,1.224685015728786e-12,1.7018206464645982,16384
128,0,0.7853981633974483,clean,kahan,1,-4.0557678576792645e-13,7.196322469544455e-13,1.125209032722372e-12,1.5635889546144814,16384
128,0,0.7853981633974483,clean,sequential,2,9.600103597066766e-13,7.196322469544455e-13,2.403781127522311e-13,0.3340291013493835,16384
128,0,0.7853981633974483,clean,kahan,2,1.3437034370171305e-12,7.196322469544455e-13,6.240711900626849e-13,0.8672084841998333,16384
128,0,0.7853981633974483,clean,sequential,3,1.2026398286171456e-12,7.196322469544455e-13,4.830075816627001e-13,0.6711866841804766,16384
128,0,0.7853981633974483,clean,kahan,3,1.3163266663387616e-12,7.196322469544455e-13,5.966944193843161e-13,0.82916576058061,16384
128,0,0.7853981633974483,clean,sequential,4,7.139746165743612e-13,7.196322469544455e-13,5.657630380084325e-15,0.0078618355472923,16384
128,0,0.7853981633974483,clean,kahan,4,1.0124025655936029e-12,7.196322469544455e-13,2.9277031863915735e-13,0.4068332400030573,16384
128,0,0.7853981633974483,clean,sequential,5,-3.4292112421991634e-14,7.196322469544455e-13,7.539243593764371e-13,1.0476522731813631,16384
128,0,0.7853981633974483,clean,kahan,5,-1.1955724071320366e-13,7.196322469544455e-13,8.391894876676493e-13,1.1661365804814634,16384
